time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-30 00:00:00+00:00,0,0,0,0
2026-08-31 00:00:00+00:00,0,0,0,0
2026-09-01 00:00:00+00:00,0,0,0,0
2026-09-02 00:00:00+00:00,0,0,0,0
2026-09-03 00:00:00+00:00,0,0,0,0
2026-09-04 00:00:00+00:00,0,0,0,0
2026-09-05 00:00:00+00:00,0,0,0,0
2026-09-06 00:00:00+00:00,0,0,0,0
2026-09-07 00:00:00+00:00,0,0,0,0
2026-09-08 00:00:00+00:00,0,0,0,0
2026-09-09 00:00:00+00:00,16,10,18,2
2026-09-10 00:00:00+00:00,56,32,34,6
2026-09-11 00:00:00+00:00,0,0,4,2
2026-09-12 00:00:00+00:00,20,11,21,1
2026-09-13 00:00:00+00:00,4,4,1,1
2026-09-14 00:00:00+00:00,6,4,22,7
2026-09-15 00:00:00+00:00,11,5,6,2
2026-09-16 00:00:00+00:00,0,0,0,0
2026-09-17 00:00:00+00:00,2,2,0,0
2026-09-18 00:00:00+00:00,1,1,0,0
2026-09-19 00:00:00+00:00,0,0,0,0
2026-09-20 00:00:00+00:00,2,2,0,0
