time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-30 00:00:00+00:00,0,0,0,0
2026-08-31 00:00:00+00:00,0,0,0,0
2026-09-01 00:00:00+00:00,11,7,52,4
2026-09-02 00:00:00+00:00,5,2,11,4
2026-09-03 00:00:00+00:00,1,1,0,0
2026-09-04 00:00:00+00:00,0,0,0,0
2026-09-05 00:00:00+00:00,1,1,1,1
2026-09-06 00:00:00+00:00,0,0,1,1
2026-09-07 00:00:00+00:00,0,0,0,0
2026-09-08 00:00:00+00:00,0,0,0,0
2026-09-09 00:00:00+00:00,8,6,12,2
2026-09-10 00:00:00+00:00,3,3,17,7
2026-09-11 00:00:00+00:00,0,0,11,5
2026-09-12 00:00:00+00:00,5,3,5,2
2026-09-13 00:00:00+00:00,6,4,1,1
2026-09-14 00:00:00+00:00,17,8,35,7
2026-09-15 00:00:00+00:00,9,5,28,4
2026-09-16 00:00:00+00:00,0,0,2,2
2026-09-17 00:00:00+00:00,2,2,1,1
2026-09-18 00:00:00+00:00,1,1,0,0
2026-09-19 00:00:00+00:00,0,0,0,0
2026-09-20 00:00:00+00:00,1,1,0,0
2026-09-21 00:00:00+00:00,0,0,0,0
