time_iso8601,clones_total,views_total
2026-08-30 00:00:00+00:00,1,0
2026-08-31 00:00:00+00:00,2,0
2026-09-01 00:00:00+00:00,11,97
2026-09-02 00:00:00+00:00,8,18
2026-09-03 00:00:00+00:00,3,0
2026-09-04 00:00:00+00:00,1,7
2026-09-05 00:00:00+00:00,2,1
2026-09-06 00:00:00+00:00,0,1
2026-09-07 00:00:00+00:00,0,5
2026-09-08 00:00:00+00:00,0,0
2026-09-09 00:00:00+00:00,24,42
2026-09-10 00:00:00+00:00,126,129
2026-09-11 00:00:00+00:00,3,38
2026-09-12 00:00:00+00:00,31,38
2026-09-13 00:00:00+00:00,15,2
2026-09-14 00:00:00+00:00,63,102
2026-09-15 00:00:00+00:00,77,62
2026-09-16 00:00:00+00:00,8,2
2026-09-17 00:00:00+00:00,5,1
2026-09-18 00:00:00+00:00,3,0
2026-09-19 00:00:00+00:00,3,0
2026-09-20 00:00:00+00:00,10,0
2026-09-21 00:00:00+00:00,13,25
2026-09-22 00:00:00+00:00,48,29
